id,soc_broad_id,occ_code,title,description
1,1,11-1011,Chief Executives,"Determine and formulate policies and provide overall direction of companies
or private and public sector organizations within guidelines set up by a
board of directors or similar governing body. Plan, direct, or coordinate
operational activities at the highest level of management with the help of
subordinate executives and staff managers."
2,2,11-1021,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector
organizations, overseeing multiple departments or locations. Duties and
responsibilities include formulating policies, managing daily operations,
and planning the use of materials and human resources, but are too diverse
and general in nature to be classified in any one functional area of
management or administration, such as personnel, purchasing, or
administrative services. Usually manage through subordinate supervisors.
Excludes First-Line Supervisors."
3,3,11-1031,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state,
or federal level. Includes only workers in elected positions."
4,4,11-2011,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce
collateral materials, such as posters, contests, coupons, or giveaways, to
create extra interest in the purchase of a product or service for a
department, an entire organization, or on an account basis."
5,5,11-2021,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as
determining the demand for products and services offered by a firm and its
competitors, and identify potential customers. Develop pricing strategies
with the goal of maximizing the firm's profits or share of the market while
ensuring the firm's customers are satisfied. Oversee product development or
monitor trends that indicate the need for new products and services."
6,5,11-2022,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a
product or service to the customer. Coordinate sales distribution by
establishing sales territories, quotas, and goals and establish training
programs for sales representatives. Analyze sales statistics gathered by
staff to determine sales potential and inventory requirements and monitor
the preferences of customers."
7,6,11-2030,Public Relations and Fundraising Managers,"This occupation includes the 2018 SOC occupations 11-2032 Public Relations
Managers and 11-2033 Fundraising Managers and the 2010 SOC occupation
11-2031 Public Relations and Fundraising Managers."
8,7,11-3010,Administrative Services and Facilities Managers,"This occupation includes the 2018 SOC occupations 11-3012 Administrative
Services Managers and 11-3013 Facilities Managers and the 2010 SOC
occupation 11-3011 Administrative Services Managers."
9,8,11-3021,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data
processing, information systems, systems analysis, and computer
programming. Excludes ""Computer Occupations"" (15-1211 through 15-1299)."
10,9,11-3031,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance,
securities, and other financial activities of a branch, office, or
department of an establishment. Excludes ""Financial Risk Specialists""
(13-2054)."
11,10,11-3051,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for
manufacturing products in accordance with cost, quality, and quantity
specifications."
12,11,11-3061,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers,
and related workers involved in purchasing materials, products, and
services. Includes wholesale or retail trade merchandising managers and
procurement managers."
13,12,11-3071,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution
activities in accordance with organizational policies and applicable
government laws or regulations. Includes logistics managers."
14,13,11-3111,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an
organization. Job analysis and position description managers are included
in ""Human Resources Managers"" (11-3121)."
15,14,11-3121,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an
organization. Excludes managers who primarily focus on compensation and
benefits (11-3111) and training and development (11-3131)."
16,15,11-3131,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and
staff of an organization."
17,16,11-9013,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches,
greenhouses, aquacultural operations, nurseries, timber tracts, or other
agricultural establishments. May hire, train, and supervise farm workers or
contract for services to carry out the day-to-day activities of the managed
operation. May engage in or supervise planting, cultivating, harvesting,
and financial and marketing activities. Excludes ""First-Line Supervisors of
Farming, Fishing, and Forestry Workers"" (45-1011)."
18,17,11-9021,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory
personnel, activities concerned with the construction and maintenance of
structures, facilities, and systems. Participate in the conceptual
development of a construction project and oversee its organization,
scheduling, budgeting, and implementation. Includes managers in specialized
construction fields, such as carpentry or plumbing."
19,18,11-9031,"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of
preschools or childcare centers and programs, including before- and
after-school care. Excludes ""Preschool Teachers, Except Special Education""
(25-2011) and ""Childcare Workers"" (39-9011)."
20,18,11-9032,"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary
activities of kindergarten, elementary, or secondary schools."
21,18,11-9033,"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and
services, as well as other research and educational activities, at
postsecondary institutions, including universities, colleges, and junior
and community colleges."
22,18,11-9039,"Education Administrators, All Other",All education administrators not listed separately.
23,19,11-9041,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and
engineering or research and development in these fields. Excludes ""Natural
Sciences Managers"" (11-9121)."
24,20,11-9051,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department
that serves food and beverages. Excludes ""Chefs and Head Cooks"" (35-1011)."
25,20,11-9071,Gambling Managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate
house rules."
26,21,11-9081,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department
that provides lodging and other accommodations. Excludes ""Food Service
Managers"" (11-9051) in lodging establishments."
27,22,11-9111,Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals,
clinics, managed care organizations, public health agencies, or similar
organizations."
28,23,11-9121,Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences,
physical sciences, mathematics, statistics, and research and development in
these fields. Excludes ""Computer and Information Systems Managers""
(11-3021) and ""Architecture and Engineering Managers"" (11-9041)."
29,24,11-9131,Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and
support services of a U.S. post office; or coordinate activities of workers
engaged in postal and related work in assigned post office."
30,25,11-9141,"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate the selling, buying, leasing, or governance
activities of commercial, industrial, or residential real estate
properties. Includes managers of homeowner and condominium associations,
rented or leased housing units, buildings, or land (including
rights-of-way)."
31,26,11-9151,Social and Community Service Managers,"Plan, direct, or coordinate the activities of a social service program or
community outreach organization. Oversee the program or organization's
budget and policies regarding participant involvement, program
requirements, and benefits. Work may involve directing social workers,
counselors, or probation officers."
32,27,11-9161,Emergency Management Directors,"Plan and direct disaster response or crisis management activities, provide
disaster preparedness training, and prepare emergency plans and procedures
for natural (e.g., hurricanes, floods, earthquakes), wartime, or
technological (e.g., nuclear power plant emergencies or hazardous materials
spills) disasters or hostage situations."
33,27,11-9171,Funeral Home Managers,"Plan, direct, or coordinate the services or resources of funeral homes.
Includes activities such as determining prices for services or merchandise
and managing the facilities of funeral homes. Excludes ""Morticians,
Undertakers, and Funeral Arrangers"" (39-4031)."
34,27,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other","This occupation includes the 2018 SOC occupations 11-9072 Entertainment and
Recreation Managers, Except Gambling; 11-9179 Personal Service Managers,
All Other; and 11-9199 Managers, All Other; and the 2010 SOC occupation
11-9199 Managers, All Other."
35,28,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","Represent and promote artists, performers, and athletes in dealings with
current or prospective employers. May handle contract negotiation and other
business matters for clients."
36,29,13-1020,Buyers and Purchasing Agents,"This occupation includes the 2018 and 2010 SOC occupations 13-1021 Buyers
and Purchasing Agents, Farm Products; 13-1022 Wholesale and Retail Buyers,
Except Farm Products; and 13-1023 Purchasing Agents, Except Wholesale,
Retail, and Farm Products."
37,30,13-1031,"Claims Adjusters, Examiners, and Investigators","Review settled claims to determine that payments and settlements are made
in accordance with company practices and procedures. Confer with legal
counsel on claims requiring litigation. May also settle insurance claims.
Excludes ""Fire Inspectors and Investigators"" (33-2021)."
38,30,13-1032,"Insurance Appraisers, Auto Damage","Appraise automobile or other vehicle damage to determine repair costs for
insurance claim settlement. Prepare insurance forms to indicate repair cost
or cost estimates and recommendations. May seek agreement with automotive
repair shop on repair costs."
